tic_id,period_days,period_err,rp_over_rs,rp_over_rs_err,depth_ppm,radius_earth,radius_jupiter,sma_au,teq_kelvin,in_habitable_zone,duration_hours,planet_type,star_radius_sun,star_teff,fap
149603524,4.4124,0.0001,0.0559,0.0001,3123.6,7.4,0.66,0.0572,1299.2,False,3.52,Neptune-like,1.21427,6391.0,0.0
229742722,3.1515,0.0001,0.0263,0.0,693.9,4.03,0.359,0.0458,1565.1,False,3.53,Neptune-like,1.40156,6415.0,0.63
237201858,4.8459,0.0001,0.0209,0.0001,438.0,3.34,0.298,0.064,1448.6,False,4.03,Sub-Neptune,1.4648,6863.0,0.91
261136679,6.2685,0.0001,0.0134,0.0001,179.8,1.68,0.15,0.0687,1080.9,False,3.78,Super-Earth,1.14889,5992.1,0.0
261136765,3.8662,0.0001,0.0344,0.0001,1186.5,4.5,0.402,0.0479,1225.6,False,3.56,Neptune-like,1.19811,5555.0,0.81
261139167,1.7519,0.0001,0.0146,0.0001,214.6,4.1,0.366,0.0316,2618.2,False,5.27,Neptune-like,2.56751,6584.0,0.19
261155555,4.6279,0.0001,0.0524,0.0001,2746.1,8.5,0.758,0.0655,1587.1,False,3.94,Neptune-like,1.48687,7552.0,0.0
350618622,3.4189,0.0001,0.0189,0.0001,356.4,2.74,0.244,0.0486,1491.2,False,3.4,Sub-Neptune,1.33031,6461.8,0.98
441075486,1.1204,0.0001,0.0575,0.0001,3304.3,6.2,0.553,,,False,,Neptune-like,0.989409,5400.0,0.0
55525572,4.785,0.0001,0.0184,0.0001,337.5,4.1,0.365,0.0565,1545.0,False,6.29,Neptune-like,2.04354,5823.7,0.0
